id;vendor;model;year;modification;lz;pcd;dia;bolt;create_time;description;id;carmodel;spectype;front_width;front_profile;front_diameter;back_width;back_profile;back_diameter;create_time
"9";"Acura";"CL";"2001";"3.2i YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:23";"Alternative";"10";"9";"ALTERNATIVE";"205";"55";"17";\N;\N;\N;"2020-10-30 18:25:35"
"9";"Acura";"CL";"2001";"3.2i YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:23";"Alternative";"11";"9";"ALTERNATIVE";"225";"50";"17";\N;\N;\N;"2020-10-30 18:25:35"
"10";"Acura";"CL";"2001";"3.2i Type-S YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:23";"Alternative";"13";"10";"ALTERNATIVE";"225";"45";"18";\N;\N;\N;"2020-10-30 18:25:35"
"10";"Acura";"CL";"2001";"3.2i Type-S YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:23";"Alternative";"14";"10";"ALTERNATIVE";"235";"40";"18";\N;\N;\N;"2020-10-30 18:25:35"
"11";"Acura";"CL";"2002";"3.2i YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:23";"Alternative";"16";"11";"ALTERNATIVE";"205";"55";"17";\N;\N;\N;"2020-10-30 18:25:35"
"11";"Acura";"CL";"2002";"3.2i YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:23";"Alternative";"17";"11";"ALTERNATIVE";"225";"50";"17";\N;\N;\N;"2020-10-30 18:25:35"
"12";"Acura";"CL";"2002";"3.2i Type-S YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:23";"Alternative";"19";"12";"ALTERNATIVE";"225";"45";"18";\N;\N;\N;"2020-10-30 18:25:35"
"12";"Acura";"CL";"2002";"3.2i Type-S YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:23";"Alternative";"20";"12";"ALTERNATIVE";"235";"40";"18";\N;\N;\N;"2020-10-30 18:25:35"
"13";"Acura";"CL";"2003";"3.2i YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:23";"Alternative";"22";"13";"ALTERNATIVE";"205";"55";"17";\N;\N;\N;"2020-10-30 18:25:35"
"13";"Acura";"CL";"2003";"3.2i YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:23";"Alternative";"23";"13";"ALTERNATIVE";"225";"50";"17";\N;\N;\N;"2020-10-30 18:25:35"
"14";"Acura";"CL";"2003";"3.2i Type-S YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:23";"Alternative";"25";"14";"ALTERNATIVE";"225";"45";"18";\N;\N;\N;"2020-10-30 18:25:35"
"14";"Acura";"CL";"2003";"3.2i Type-S YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:23";"Alternative";"26";"14";"ALTERNATIVE";"235";"40";"18";\N;\N;\N;"2020-10-30 18:25:35"
"15";"Acura";"CL";"1997";"2.2i YA1 (USDM)";"4";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:23";"Alternative";"28";"15";"ALTERNATIVE";"205";"50";"17";\N;\N;\N;"2020-10-30 18:25:35"
"15";"Acura";"CL";"1997";"2.2i YA1 (USDM)";"4";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:23";"Alternative";"29";"15";"ALTERNATIVE";"205";"45";"18";\N;\N;\N;"2020-10-30 18:25:35"
"16";"Acura";"CL";"1997";"3.0i YA1 (USDM)";"4";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:23";"Alternative";"31";"16";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:35"
"16";"Acura";"CL";"1997";"3.0i YA1 (USDM)";"4";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:23";"Alternative";"32";"16";"ALTERNATIVE";"235";"40";"18";\N;\N;\N;"2020-10-30 18:25:35"
"17";"Acura";"CL";"1998";"2.3i YA1 (USDM)";"4";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"34";"17";"ALTERNATIVE";"205";"50";"17";\N;\N;\N;"2020-10-30 18:25:35"
"17";"Acura";"CL";"1998";"2.3i YA1 (USDM)";"4";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"35";"17";"ALTERNATIVE";"215";"45";"18";\N;\N;\N;"2020-10-30 18:25:35"
"18";"Acura";"CL";"1998";"3.0i YA1 (USDM)";"4";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"37";"18";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:35"
"18";"Acura";"CL";"1998";"3.0i YA1 (USDM)";"4";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"38";"18";"ALTERNATIVE";"235";"40";"18";\N;\N;\N;"2020-10-30 18:25:35"
